Ticker,Empresa,Sector,Precio,Valor Justo,Precio Max Compra,Upside Potencial,Decisión,WACC,Deuda Total,Total Cash,Deuda Neta,Market Cap,Enterprise Value,FCF,Crecimiento (g),Ke,Kd,Beta,Ultima Actualizacion
CPAY,"Corpay, Inc.",Technology,347.2,570.3096053793638,456.24768430349104,0.6425967896871078,COMPRA FUERTE,0.07234586013743764,10001686528,2496920064,7504766464,24517314560,32022081024,1948835328,0.03,0.0824,0.05,0.808,20/02/2026
CPRX,"Catalyst Pharmaceuticals, Inc.",Healthcare,24.42,30.879978996955717,24.703983197564575,0.264536404461741,COMPRA FUERTE,0.09001127209007789,2889000,689891968,-687002968,3001520384,2314517416,181113376,0.03,0.07845,0.05,0.729,20/02/2026
GHC,Graham Holdings Company,Consumer Defensive,1080.31,3868.718418433336,3094.974734746669,2.581118770013548,COMPRA FUERTE,0.07920094977072493,1297401984,1196614016,100787968,4712769536,4813557504,632844864,0.03,0.08005000000000001,0.05,0.761,20/02/2026
KDP,Keurig Dr Pepper Inc.,Consumer Defensive,29.1,31.8036387770466,25.442911021637283,0.09290854903940203,MANTENER/VENTA,0.05338718437120349,18630000640,516000000,18114000640,39534772224,57648772864,1392375040,0.03,0.05975,0.05,0.355,20/02/2026
AIN,Albany International Corp.,Consumer Cyclical,59.46,73.71747678208598,58.97398142566879,0.23978265694729198,MANTENER/VENTA,0.09077749408375838,481536000,108310000,373226000,1752170624,2125396624,146705872,0.03,0.10170000000000001,0.05,1.194,20/02/2026
CERT,"Certara, Inc.",Healthcare,6.65,8.115997647883775,6.492798118307021,0.22045077411786088,MANTENER/VENTA,0.10713439959687666,309199008,172711008,136488000,1059167872,1195655872,107025872,0.03,0.11585000000000001,0.05,1.477,20/02/2026
VRRM,Verra Mobility Corporation,Technology,18.44,20.626878736027564,16.50150298882205,0.11859429154162486,MANTENER/VENTA,0.06363176613778466,1066737024,198816000,867921024,2942368512,3810289536,135808256,0.03,0.07075000000000001,0.05,0.575,20/02/2026
MZTI,The Marzetti Company,Consumer Defensive,163.7,187.46794631979174,149.9743570558334,0.14519209724979687,MANTENER/VENTA,0.06225000000000001,0,0,0,4499458048,4499458048,160966368,0.03,0.06225000000000001,0.05,0.405,20/02/2026
LDOS,"Leidos Holdings, Inc.",Technology,176.27,203.0343508206215,162.4274806564972,0.1518372429830459,MANTENER/VENTA,0.06771715336385575,5342000128,1108000000,4234000128,22614972416,26848972544,1105624960,0.03,0.07300000000000001,0.05,0.62,20/02/2026
IBM,International Business Machines Corporation,Technology,256.28,296.95485126595406,237.56388101276326,0.1587125459105435,MANTENER/VENTA,0.07013212821354801,64606998528,14417000448,50189998080,239553937408,289743935488,12770750464,0.03,0.07655,0.05,0.691,20/02/2026
HUM,Humana Inc.,Healthcare,190.5,265.2308286892017,212.18466295136136,0.39228781464147877,COMPRA FUERTE,0.07536389807909494,12675000320,19903000576,-7228000256,22912020480,15684020224,1086625024,0.03,0.06405,0.05,0.441,20/02/2026
SAM,"The Boston Beer Company, Inc.",Consumer Defensive,231.49,393.9629869201758,315.17038953614065,0.7018574751400742,COMPRA FUERTE,0.09779663650065615,40897000,250454000,-209557000,2520607488,2311050488,208967008,0.03,0.09295,0.05,1.019,20/02/2026
PII,Polaris Inc.,Consumer Cyclical,65.35,222.3031955935875,177.84255647487,2.401732143742732,COMPRA FUERTE,0.0834064172948242,1664700032,138000000,1526700032,3704734976,5231435008,732612480,0.03,0.1015,0.05,1.19,20/02/2026
EXEL,"Exelixis, Inc.",Healthcare,44.16,74.82693779799072,59.86155023839258,0.6944505841936306,COMPRA FUERTE,0.06499814868563139,200920000,1059091008,-858171008,11839833088,10981662080,631157120,0.03,0.06315000000000001,0.05,0.423,20/02/2026
BCO,The Brink's Company,Industrials,129.89,141.62405239952372,113.29924191961898,0.09033838170393206,MANTENER/VENTA,0.07574524279334607,4319600128,1340300032,2979300096,5411514368,8390814464,393637504,0.03,0.09570000000000001,0.05,1.074,20/02/2026
ELV,"Elevance Health, Inc.",Healthcare,348.18,428.25415362714324,342.6033229017146,0.22997918785439495,MANTENER/VENTA,0.06841622685222541,32750000128,36115001344,-3365001216,76844949504,73479948288,3399749888,0.03,0.06715,0.05,0.503,20/02/2026
TAP,Molson Coors Beverage Company,Consumer Defensive,48.35,120.1110325849988,96.08882606799904,1.4841992261633667,COMPRA FUERTE,0.05668494063350303,6509799936,1021000000,5488799936,9561493504,15050293440,718812480,0.03,0.06655,0.05,0.491,20/02/2026
ANIP,"ANI Pharmaceuticals, Inc.",Healthcare,78.1,148.6015002553295,118.88120020426362,0.9027080698505701,COMPRA FUERTE,0.062357181384746524,631580032,271468992,360111040,1753982848,2114093888,116153752,0.03,0.06705,0.05,0.501,20/02/2026
SPSC,"SPS Commerce, Inc.",Technology,58.35,84.68671781622724,67.7493742529818,0.4513576318119493,COMPRA FUERTE,0.07196592942001577,7192000,151355008,-144163008,2211976448,2067813440,124239376,0.03,0.06985000000000001,0.05,0.557,20/02/2026
ST,Sensata Technologies Holding plc,Technology,36.16,54.5401501943698,43.63212015549584,0.5083006137823508,COMPRA FUERTE,0.08072498532027575,3203203072,791347008,2411856064,5267743232,7679599296,510066624,0.03,0.0996,0.05,1.152,20/02/2026
ANGI,Angi Inc.,Communication Services,8.08,17.839136568385875,14.2713092547087,1.207813931730925,COMPRA FUERTE,0.09340611620713277,529065984,303700992,225364992,348656640,574021632,57909752,0.03,0.12825,0.05,1.725,20/02/2026
GILD,"Gilead Sciences, Inc.",Healthcare,151.12,162.4726180662539,129.9780944530031,0.07512320054429514,MANTENER/VENTA,0.05983313375552759,24591998976,10604999680,13986999296,187491500032,201478499328,6243624960,0.03,0.06135,0.05,0.387,20/02/2026
CPT,Camden Property Trust,Real Estate,108.59,142.65645547603103,114.12516438082483,0.31371632264509647,COMPRA FUERTE,0.07239934347513954,3923490048,25203000,3898287048,11553468416,15451755464,767721856,0.03,0.0835,0.05,0.83,20/02/2026
BIIB,Biogen Inc.,Healthcare,192.08,704.3342480061,563.46739840488,2.6668796751671175,COMPRA FUERTE,0.04922007484956681,6657600000,3815699968,2841900032,28189378560,31031278592,1981887488,0.03,0.0502,0.05,0.164,20/02/2026
SHO,"Sunstone Hotel Investors, Inc.",Real Estate,9.38,15.312550715271518,12.250040572217216,0.6324680933125285,COMPRA FUERTE,0.07517688777103833,926846976,121845000,805001976,1781291648,2586293624,162851872,0.03,0.0913,0.05,0.986,20/02/2026
NTCT,"NetScout Systems, Inc.",Technology,29.79,64.63382786601733,51.707062292813866,1.169648468144254,COMPRA FUERTE,0.08551003522014472,41804000,573003008,-531199008,2151444480,1620245472,222939008,0.03,0.07415000000000001,0.05,0.643,20/02/2026
ENR,"Energizer Holdings, Inc.",Industrials,22.36,81.94370178759412,65.5549614300753,2.6647451604469645,COMPRA FUERTE,0.05052040844242667,3425799936,214800000,3210999936,1533239040,4744238976,175750000,0.03,0.0736,0.05,0.632,20/02/2026
PK,Park Hotels & Resorts Inc.,Real Estate,11.42,24.564742803885416,19.651794243108334,1.1510282665398788,COMPRA FUERTE,0.06383099899537917,4778999808,278000000,4500999808,2283012352,6784012160,309124992,0.03,0.11180000000000001,0.05,1.396,20/02/2026
HP,"Helmerich & Payne, Inc.",Energy,35.96,47.04120854278727,37.63296683422981,0.3081537414568205,COMPRA FUERTE,0.05949917338833089,2033172992,268969984,1764203008,3655915008,5420118016,187497376,0.03,0.06915,0.05,0.543,20/02/2026
