Ticker,Empresa,Sector,Precio,Valor Justo,Precio Max Compra,Upside Potencial,Decisión,WACC,Deuda Total,Total Cash,Deuda Neta,Market Cap,Enterprise Value,FCF,Crecimiento (g),Ke,Kd,Beta,Ultima Actualizacion
NEM,Newmont Corporation,Basic Materials,125.4,260.2298627277311,208.18389018218488,1.0751982673662763,COMPRA FUERTE,0.06390598944076531,5650999808,5967000064,-316000256,137745596416,137429596160,9337749504,0.03,0.06385,0.05,0.437,20/02/2026
CF,"CF Industries Holdings, Inc.",Basic Materials,99.46,198.21127452460763,158.56901961968612,0.9928742662840101,COMPRA FUERTE,0.07319164288818737,3396000000,1838000000,1558000000,16109830144,17667830144,1361750016,0.03,0.07645,0.05,0.689,20/02/2026
YOU,"Clear Secure, Inc.",Technology,33.5,34.12458986371341,27.29967189097073,0.01864447354368389,MANTENER/VENTA,0.10769562769158442,113671000,530641984,-416970984,4516721664,4099750680,219348256,0.03,0.1014,0.05,1.188,20/02/2026
AZTA,"Azenta, Inc.",Healthcare,29.67,31.224585010295062,24.97966800823605,0.05239585474536772,MANTENER/VENTA,0.13320381607777015,54462000,409656000,-355194000,1366645504,1011451504,108520128,0.03,0.10885,0.05,1.337,20/02/2026
TR,"Tootsie Roll Industries, Inc.",Consumer Defensive,41.28,49.06854717354789,39.25483773883832,0.18867604587083067,MANTENER/VENTA,0.07084951074519742,14160000,119830000,-105670000,3012888064,2907218064,77194376,0.03,0.06975,0.05,0.555,20/02/2026
NOC,Northrop Grumman Corporation,Industrials,736.87,1470.4176709737826,1176.334136779026,0.995491295579658,COMPRA FUERTE,0.04344437926488981,17884000256,4402999808,13481000448,105166135296,118647135744,2899875072,0.03,0.04395,0.05,0.039,20/02/2026
BMY,Bristol-Myers Squibb Company,Healthcare,60.3,229.38238870859064,183.50591096687253,2.804019713243626,COMPRA FUERTE,0.05279636743822096,47187001344,10673000448,36514000896,122799366144,159313367040,11146874880,0.03,0.05675,0.05,0.295,20/02/2026
AHCO,AdaptHealth Corp.,Healthcare,10.05,16.87603664026958,13.500829312215664,0.6792076258974704,COMPRA FUERTE,0.07805842186226182,1903938944,81122000,1822816944,1361014656,3183831600,191685120,0.03,0.1297,0.05,1.754,20/02/2026
ADC,Agree Realty Corporation,Real Estate,77.13,91.9682054978861,73.57456439830888,0.19237917150118122,MANTENER/VENTA,0.06115617374655388,3320820992,22267000,3298553992,9284594688,12583148680,433686112,0.03,0.06885000000000001,0.05,0.537,20/02/2026
AIG,"American International Group, Inc.",Financial Services,79.54,156.97153081202592,125.57722464962075,0.9734917124971826,COMPRA FUERTE,0.07374562048115005,10046999552,12359999488,-2312999936,42917879808,40604879872,11258125312,-0.056,0.0719,0.05,0.598,20/02/2026
TRIP,"Tripadvisor, Inc.",Consumer Cyclical,10.57,28.950953402209162,23.16076272176733,1.7389738318078676,COMPRA FUERTE,0.08137958372435425,1251000064,1035000000,216000064,1235721088,1451721152,176500000,0.03,0.0887,0.05,0.934,20/02/2026
OHI,"Omega Healthcare Investors, Inc.",Real Estate,46.53,66.64477333388616,53.315818667108935,0.4322968694151335,COMPRA FUERTE,0.06265237409342438,4299183104,27024000,4272159104,14134883328,18407042432,759892224,0.03,0.06965,0.05,0.553,20/02/2026
COR,"Cencora, Inc.",Healthcare,359.11,390.4854630356423,312.38837042851384,0.08737006219721609,MANTENER/VENTA,0.07240960411613348,9905211392,1753122048,8152089344,69857910784,78010000128,3463320320,0.03,0.07625000000000001,0.05,0.685,20/02/2026
GLPI,"Gaming and Leisure Properties, Inc.",Real Estate,47.35,57.34189383315229,45.87351506652183,0.2110220450507347,MANTENER/VENTA,0.0637355240139052,7505413120,751715008,6753698112,13400444928,20154143040,752725760,0.03,0.07595,0.05,0.679,20/02/2026
KNX,Knight-Swift Transportation Holdings Inc.,Industrials,59.2,75.38218395778605,60.30574716622885,0.2733477019896292,COMPRA FUERTE,0.0872116548171702,2685566976,220420000,2465146976,9610469376,12075616352,816661120,0.03,0.09945000000000001,0.05,1.149,20/02/2026
GTM,ZoomInfo Technologies Inc.,Technology,6.43,24.89255105960778,19.914040847686223,2.8713143172018323,COMPRA FUERTE,0.07192504182056596,1569200000,181300000,1387900000,1963044608,3350944608,365824992,0.03,0.09485,0.05,1.057,20/02/2026
ACIW,"ACI Worldwide, Inc.",Technology,40.75,40.827822462321606,32.662257969857286,0.0019097536766038324,MANTENER/VENTA,0.08674974299751742,924614976,199268000,725346976,4205076992,4930423968,271859136,0.03,0.09490000000000001,0.05,1.058,20/02/2026
PATH,"UiPath, Inc.",Technology,11.21,14.418826951776582,11.535061561421266,0.28624682888283504,COMPRA FUERTE,0.11138275636128657,82009000,1398185984,-1316176984,5994544128,4678367144,420573504,0.03,0.09560000000000002,0.05,1.072,20/02/2026
HCSG,"Healthcare Services Group, Inc.",Healthcare,20.22,21.936786440227568,17.549429152182054,0.08490536301817848,MANTENER/VENTA,0.0854312005123771,15016000,167963008,-152947008,1424610432,1271663424,74724376,0.03,0.08050000000000002,0.05,0.77,20/02/2026
PGNY,"Progyny, Inc.",Healthcare,20.76,38.119250968043,30.4954007744344,0.8361874262063099,COMPRA FUERTE,0.10166208614093061,28150000,345207008,-317057008,1789753984,1472696976,206586256,0.03,0.09065000000000001,0.05,0.973,20/02/2026
FDS,FactSet Research Systems Inc.,Financial Services,198.88,320.9095991018409,256.7276792814727,0.6135840662803747,COMPRA FUERTE,0.07265401659835788,1560034048,292680992,1267353056,7442077184,8709430240,545510144,0.03,0.07830000000000001,0.05,0.726,20/02/2026
KFY,Korn Ferry,Industrials,62.87,66.8641433694263,53.49131469554104,0.0635301951555003,MANTENER/VENTA,0.11256588882511069,553566976,786446016,-232879040,3293821184,3060942144,261091872,0.03,0.1074,0.05,1.308,20/02/2026
TNL,Travel + Leisure Co.,Consumer Cyclical,75.42,300.6940353402075,240.555228272166,2.9869270132618335,COMPRA FUERTE,0.06461745287809117,5598000128,253000000,5345000128,4902859776,10247859904,829750016,0.03,0.092,0.05,1.0,20/02/2026
NXRT,"NexPoint Residential Trust, Inc.",Real Estate,30.03,85.67363334413372,68.53890667530698,1.852934843294496,COMPRA FUERTE,0.07165157376545879,1468583936,30295000,1438288936,1544096256,2982385192,146037504,0.03,0.1016,0.05,1.192,20/02/2026
NSIT,"Insight Enterprises, Inc.",Technology,83.92,143.74713946651136,114.99771157320909,0.7129068096581429,COMPRA FUERTE,0.07170241026628883,1666418944,358020000,1308398944,2601226496,3909625440,233373872,0.03,0.0879,0.05,0.918,20/02/2026
PYPL,"PayPal Holdings, Inc.",Financial Services,41.73,43.991256859705956,35.193005487764765,0.05418779917819217,MANTENER/VENTA,0.10958613202564321,12295999488,10421999616,1873999872,39044755456,40918755328,3274249984,0.03,0.11295,0.05,1.419,20/02/2026
INN,"Summit Hotel Properties, Inc.",Real Estate,4.39,7.941610658820578,6.353288527056463,0.809022929116305,COMPRA FUERTE,0.05585742691740761,1446804992,45323000,1401481992,477670560,1879152552,56875124,0.03,0.10385000000000001,0.05,1.237,20/02/2026
TDW,Tidewater Inc.,Energy,73.85,195.4107098935401,156.3285679148321,1.6460488814291145,COMPRA FUERTE,0.07055205344779412,675518976,428224992,247293984,3660239104,3907533088,391050368,0.03,0.07265,0.05,0.613,20/02/2026
ASH,Ashland Inc.,Basic Materials,63.22,90.73713673137367,72.58970938509894,0.4352599925873722,COMPRA FUERTE,0.056100507794315066,1488999936,304000000,1184999936,2893098496,4078098432,135250000,0.03,0.06290000000000001,0.05,0.418,20/02/2026
